"","clean_text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"58","Aaja bhai idhar bhi paisa mil jayega",0,0,0,0,0,0,0,0
"59","Exactly what I went though until when I moved back to Mumbai",0,0,0,0,0,0,0,0
"60","Aqui",0,0,0,0,0,0,0,0
"61","Here",0,0,0,0,0,0,0,0
"62","",0,0,0,0,0,0,0,0
"63","rebeccalaytonLove from India",0,0,0,0,0,0,0,0
"64","And it is still beautiful",0,0,0,0,1,0,0,0
"65","there is no traditional clothes in muzlims it is only Black tent and slavery funny how western women are so delusional",2,0,1,2,0,2,0,0
"66","Here baby",0,0,0,0,1,0,0,0
"67","Me",0,0,0,0,0,0,0,0
"68","I love u coldplay",0,0,0,0,1,0,0,0
"69","Listen to this incredible song once a week Great way to start off the Memorial Day weekend",0,1,0,0,0,0,0,0
"70","Very nice culture",0,0,0,0,0,0,0,0
"71","I also miss my India as I am currently living in Israel and I miss the food and culture that we have",0,0,0,0,1,0,0,1
"72","do not offend whole India is your",1,0,1,0,0,0,0,0
"73","ashutoshsingh thats what India is big country Its not only about North part",0,0,0,0,0,0,0,0
"74","MalathiPknqo I know that is the main problem of u South India that even your literacy is great but behave like an idiot India is a big country and he not shows northeast Punjab kashmir and West Bengal and North India laughing out loud bc this was shooted in Mumbai Maharashtra as this is film City of India so do not cry like a kid in comments about North India or South India instead be happy that he represented India and if we say such things like u then u call us racist and other nonsense things I am proud even I am living in Delhi that Mumbai was showed and it is temples and beauty",0,2,1,1,4,2,0,2
"75","Me",0,0,0,0,0,0,0,0
"76","",0,0,0,0,0,0,0,0
"77","Fr especially west media",0,0,0,0,0,0,0,0
"78","Oh that is so cute Love from India",0,0,0,0,1,0,0,0
"79","Are u from Ohio ",0,0,0,0,0,0,0,0
"80","bombasticzoqz yes",0,0,0,0,0,0,0,0
"81","bombasticzoqz and you ",0,0,0,0,0,0,0,0
"82","No bro",0,0,0,0,0,0,0,0
"83","Onesideloveshayri which place ",0,0,0,0,0,0,0,0
"84","IMRANKHANcyezit is Varanasi where people from foreign used to come practice Hinduism and for peace",0,1,0,0,1,0,0,1
"85","Me cent",0,0,0,0,0,0,0,0
"86","Yeah still listening from india",0,0,0,0,0,0,0,0
"87","Everyone one is from india",0,0,0,0,0,0,0,0
"88","I got",0,0,0,0,0,0,0,0
"89","Bruh minute ago",0,0,0,0,0,0,0,0
"90","Wow I am amazed ure either muslims or hater of India",0,0,0,0,0,0,0,0
"91","Come back I have liked your video and listened this peaceful song again",0,1,0,0,1,0,1,1
"92","AshutoshINDIA and im here and listening",0,0,0,0,0,0,0,0
"93","His this song on India made his career very well",0,1,0,0,0,0,0,0
"94","Hahaha me too and I have listened this song back in years feeling nostalgia",1,1,1,1,1,1,1,1
"95","I am still in m",0,0,0,0,0,0,0,0
"96","Love from India",0,0,0,0,1,0,0,0
"97","This song is based on Hindustan not India so do not put urself with this song",0,0,0,0,0,0,0,0
"98","No one is here turkey or Pakistan beggars here",0,0,0,0,0,0,0,0
"99","laughing out loud this song is based on Indian culture not of FIFA laughing out loud",0,0,0,0,1,0,0,0
"100","Fr",0,0,0,0,0,0,0,0
"101","Me",0,0,0,0,0,0,0,0
"102","Tambem mano cent",0,0,0,0,0,0,0,0
"103","Yep",0,0,0,0,0,0,0,0
"104","No this is ",0,0,0,0,0,0,0,0
"105","KimMeghnano it is not it is ",0,0,0,0,0,0,0,0
"106","AceTheERZAR No it is not it is ",0,0,0,0,0,0,0,0
"107","KimMeghna u must not be fun talking to laughing out loud U do not even get jokes",0,1,0,0,2,0,0,0
"108","Ok",0,0,0,0,0,0,0,0
"109","Fr",0,0,0,0,0,0,0,0
"110","I like",0,0,0,0,0,0,0,0
"111","do not put us Christains with muslims",0,0,0,0,0,0,0,0
"112","Azokyjufsame here to not put Hindus with Muslims",0,0,0,0,0,0,0,0
"113","Because of you are addicted to alcohol",0,0,0,0,0,0,0,0
"114","Nope",0,0,0,0,0,0,0,0
"115","Sup",0,0,0,0,0,0,0,0
"116","Nope",0,0,0,0,0,0,0,0
"117","Mumbai",0,0,0,0,0,0,0,0
"118","theiigotriangularroundI thought it is from Varanasi as Hindu culture depicted here",0,1,0,0,0,0,0,0
"119","AshutoshINDIA Hinduism is quite prevalent in Mumbai too also these type of taxis are only seen in Mumbai And he walking in the slums of dhravai tht is in Mumbai too",0,0,0,0,0,0,0,1
"120","I am from ",0,0,0,0,0,0,0,0
"121","Antigas tem vibes inesqueciveis",0,0,0,0,0,0,0,0
"122","True",0,0,0,0,0,0,0,0
"123","HOW DID YOU KNOOW",0,0,0,0,0,0,0,0
"124","Yes true",0,0,0,0,0,0,0,0
"125","i am a time Traveler laughing out loud",0,1,0,0,1,0,0,0
"126","Stop drinking alcohol",0,0,0,0,0,0,0,0
"127","Brasil",0,0,0,0,0,0,0,0
"128","Not even a single one",0,0,0,0,0,0,0,0
"129",NA,0,0,0,0,0,0,0,0
"130","Fr I also come back to listened this song as I am living in Germany but I missed my pure culture and food",0,0,0,0,1,0,0,1
"131","Yeah",0,0,0,0,0,0,0,0
"132","Love from India",0,0,0,0,1,0,0,0
"133","Yoo",0,0,0,0,0,0,0,0
"134","This my channel",0,0,0,0,0,0,0,0
"135","",0,0,0,0,0,0,0,0
"136","",0,0,0,0,0,0,0,0
"137","",0,0,0,0,0,0,0,0
"138","",0,0,0,0,0,0,0,0
"139","",0,0,0,0,0,0,0,0
"140","your India son so do not worry",0,1,0,1,0,1,0,0
"141","I am here From Turkiye",0,0,0,0,0,0,0,0
"142","Love from India",0,0,0,0,1,0,0,0
"143","bb",0,0,0,0,0,0,0,0
"144","Obviusly",0,0,0,0,0,0,0,0
"145","mu registered trademark mu mu mu",0,0,0,0,0,0,0,0
"146","Aur kya India ka hokar yeh puch Raha hai Varanasi side ka area hai shayad",0,0,0,0,0,0,0,0
"147","Tell your name please",0,0,0,0,0,0,0,0
"148","Thank you and best luck for you in the futurethough we never may meet I wish you the best wishes",0,1,0,0,1,0,1,0
"149","Same for your future",0,0,0,0,0,0,0,0
"150"," mu mu cent ",0,0,0,0,0,0,0,0
"151","Yo secs ago",0,0,0,0,0,0,0,0
"152","Bruh its still ",0,0,0,0,0,0,0,0
"153","Me",0,0,0,0,0,0,0,0
"154","Me at in ",0,0,0,0,0,0,0,0
"155","Bro it is joke",0,0,0,0,0,0,0,0
"156","It is next year is ",0,0,0,0,0,0,0,0
"157","",0,0,0,0,0,0,0,0
"158","I am form ",0,0,0,0,0,0,0,0
"159","Your father",0,0,0,0,0,0,0,1
"160","Since the time when the world has already come to an end only this song saves me from selfmiscarriage from the window",0,1,0,0,0,0,0,0
"161","Bro has time machine",0,1,0,0,0,0,0,1
"162","Nobody laughing out loud",0,0,0,0,1,0,0,0
"163","What",0,0,0,0,0,0,0,0
"164","I am ",0,0,0,0,0,0,0,0
"165","This is only",0,0,0,0,0,0,0,0
"166","My soul",0,0,0,0,0,0,0,0
"167","Wish if it was trueMuktadir",0,0,0,0,0,0,0,0
"168","cent",0,0,0,0,0,0,0,0
"169","This comment is so old bro its ",0,0,0,0,0,0,0,0
"170","abel joe mama",0,0,0,0,0,0,0,0
"171","Me",0,0,0,0,0,0,0,0
"172","Here",0,0,0,0,0,0,0,0
"173","Sup",0,0,0,0,0,0,0,0
"174","Ok Ustad KARISHNA KUMAR YADAF SHARMA",0,0,0,0,0,0,0,0
"175","Lan is present",0,1,0,0,1,0,1,1
"176","No one asked and no one cares",0,0,0,0,0,0,0,0
"177","Huh",0,0,0,0,0,0,0,0
"178","Mashallah",0,0,0,0,0,0,0,0
"179","they are not Indians you buffoon",0,0,0,0,0,0,0,0
"180","Stinks in here",0,0,0,0,0,0,0,0
"181","",0,0,0,0,0,0,0,0
"182","Nice song",0,0,0,0,0,0,0,0
"183","CallsignGhostwe were taught by our parents that foreign people are well disciplined and educated but after seeing these type of comments I think they said wrong Bro youtube has given everyone access to write comments so who tf will go and ask your mom what should heshe should comment Shame on you people",0,0,1,1,0,1,0,1
"184","Hi song",0,0,0,0,0,0,0,0
"185","Yo",0,0,0,0,0,0,0,0
"186","",0,0,0,0,0,0,0,0
"187","Here",0,0,0,0,0,0,0,0
"188","Miss Love u from India",0,0,0,0,1,0,0,0
"189","Cry harder turkey and Pakistan beggar",0,0,0,0,0,2,0,0
"190","Yes turkey and Pakistan people are fool from birth",0,1,1,1,1,0,0,1
"191","No in ",0,0,0,0,0,0,0,0
"192","Love from India",0,0,0,0,1,0,0,0
"193","Nice joke that is why no one respects your culture terrorists",0,0,0,0,0,0,0,1
"194","Nope you adopted arabic culture",0,0,0,0,0,0,0,0
"195","Machismo hahaha no one adopt terrorists culture like your",0,0,0,0,0,0,0,0
"196","",0,0,0,0,0,0,0,0
"197","Kazama",0,0,0,0,0,0,0,0
"198","here",0,0,0,0,0,0,0,0
"199","",0,0,0,0,0,0,0,0
"200","Always",0,0,0,0,0,0,0,0
"201","I am from Trinidad and Tobago",0,0,0,0,0,0,0,0
"202","registered trademark mu ",0,0,0,0,0,0,0,0
"203","India cent",0,0,0,0,0,0,0,0
"204","Yo",0,0,0,0,0,0,0,0
"205","Me",0,0,0,0,0,0,0,0
"206","Me",0,0,0,0,0,0,0,0
"207","Yeah wsg",0,0,0,0,0,0,0,0
"208","Favorite to ng baby ko eh hahaha",0,0,0,0,2,0,0,1
"209","Present",0,1,0,0,1,0,1,1
"210","Yes",0,0,0,0,0,0,0,0
"211","Me",0,0,0,0,0,0,0,0
"212","Me bro",0,0,0,0,0,0,0,0
"213","Me cent",0,0,0,0,0,0,0,0
"214","barbie gi",0,0,0,0,0,0,0,0
"215","Me",0,0,0,0,0,0,0,0
"216","Im here may",0,0,0,0,0,0,0,0
"217","Yo es ta chida la cancion",0,0,0,0,0,0,0,0
"218","Me",0,0,0,0,0,0,0,0
"219","Me",0,0,0,0,0,0,0,0
"220","Gang",1,0,0,1,0,0,0,0
"221","Me",0,0,0,0,0,0,0,0
"222",NA,0,0,0,0,0,0,0,0
"223","Hear",0,0,0,0,0,0,0,0
"224","ada bng",0,0,0,0,0,0,0,0
"225","Perfect song forever for motive your entire life",0,1,0,0,1,0,0,1
"226",NA,0,0,0,0,0,0,0,0
"227","Bkl abhi toh may chlra",0,0,0,0,0,0,0,0
"228","it is still May Buddy",0,1,0,0,1,0,0,1
"229","it is may bros living in the future",0,0,0,0,0,0,0,0
"230","Todavia estamos mayo no te adelantes tanto xd",0,0,0,0,0,0,0,0
"231","What is the meaning of your words ",1,0,0,0,0,0,0,0
"232","Love Messi and Argentina from India",0,0,0,0,1,0,0,0
"233","Yes",0,0,0,0,0,0,0,0
"234","Gojos return gets cancelled",0,0,0,0,0,0,0,0
"235","Me",0,0,0,0,0,0,0,0
"236","",0,0,0,0,0,0,0,0
"237","Me",0,0,0,0,0,0,0,0
"238","Uh huh",0,0,0,0,0,0,0,0
"239","But it is still bro",0,0,0,0,0,0,0,0
"240","Iam nigga",0,0,0,0,0,0,0,0
"241","Yo",0,0,0,0,0,0,0,0
"242","no",0,0,0,0,0,0,0,0
"243","Me",0,0,0,0,0,0,0,0
"244","Yep",0,0,0,0,0,0,0,0
"245","mhm definitly",0,0,0,0,0,0,0,0
"246","no one sure about that",0,0,0,0,0,0,0,0
"247","Me",0,0,0,0,0,0,0,0
"248",NA,0,0,0,0,0,0,0,0
"249","Me",0,0,0,0,0,0,0,0
"250","Me on ",0,0,0,0,0,0,0,0
"251","U stuck on Too slow I am in ",0,0,0,0,0,0,0,0
"252","kartikeya",0,0,0,0,0,0,0,0
"253","Next earr",0,0,0,0,0,0,0,0
"254","The fact that Bollywood has made thousands of songs on Hinduism which you play during festivals and you say all of them are liberals while a white guy made a song which has India in its background made you believe he loves India and Indian cultureshows why we were under britisher for such a long time",0,3,0,0,1,0,0,2
"255","Rest you can only show me example of Hollywood appreciating India and Hindu scriptures and I will show you thousands of examples where they have disrespected our scriptureslike recent Oscar winner Oppenheimer",0,1,0,0,1,0,1,1
"256","Vorp",0,0,0,0,0,0,0,0
"257","me",0,0,0,0,0,0,0,0
"258","Kolkata",0,0,0,0,0,0,0,0
"259","En realidad es nuestra",0,0,0,0,0,0,0,0
"260","La llevare dentro de mi la cancion y a ti",0,0,0,0,0,0,0,0
"261","it is cultural appreciation",0,0,0,0,1,0,0,1
"262",NA,0,0,0,0,0,0,0,0
"263","HappyPotato and Also no need to call it pagan grounds and idol worshippers as that is their culture",0,0,0,0,0,0,0,0
"264",NA,0,0,0,0,0,0,0,0
"265","HappyPotato how does it take away",0,0,0,0,0,0,0,0
"266","Me",0,0,0,0,0,0,0,0
"267","Me",0,0,0,0,0,0,0,0
"268","Why",0,0,0,0,0,0,0,0
"269","People just want something to be offended by",1,0,0,0,0,1,0,0
"270","may cent",0,0,0,0,0,0,0,0
"271","Yeah me registered trademark",0,0,0,0,0,0,0,0
"272","Beyonce",0,0,0,0,0,0,0,0
"273","",0,0,0,0,0,0,0,0
"274","Hello",0,0,0,0,0,0,0,0
"275","",0,0,0,0,0,0,0,0
"276","I",0,0,0,0,0,0,0,0
"277",NA,0,0,0,0,0,0,0,0
"278","Yo aqui y sintiendome asi",0,0,0,0,0,0,0,0
"279","",0,0,0,0,0,0,0,0
"280","Im From india bro",0,0,0,0,0,0,0,0
"281","yug i had to translate",0,0,0,0,0,0,0,0
"282","Felipegamerpley oo",0,0,0,0,0,0,0,0
"283","yep",0,0,0,0,0,0,0,0
"284","Hi",0,0,0,0,0,0,0,0
"285","Me",0,0,0,0,0,0,0,0
"286","",0,0,0,0,0,0,0,0
"287","Mei ",0,0,0,0,0,0,0,0
"288","Me",0,0,0,0,0,0,0,0
"289","Hey",0,0,0,0,0,0,0,0
"290"," months late buddy",0,1,0,0,1,1,0,1
"291","Me",0,0,0,0,0,0,0,0
"292","Yeh",0,0,0,0,0,0,0,0
"293","Yap",0,0,0,0,0,0,0,0
"294","Me",0,0,0,0,0,0,0,0
"295","",0,0,0,0,0,0,0,0
"296","Hfransfundiyana",0,0,0,0,0,0,0,0
"297","",0,0,0,0,0,0,0,0
"298",NA,0,0,0,0,0,0,0,0
"299","Me",0,0,0,0,0,0,0,0
"300","Me",0,0,0,0,0,0,0,0
"301","Yey",0,0,0,0,0,0,0,0
"302","Yey",0,0,0,0,0,0,0,0
"303","Yes",0,0,0,0,0,0,0,0
"304","Yes bro",0,0,0,0,0,0,0,0
"305","Me",0,0,0,0,0,0,0,0
"306","Present",0,1,0,0,1,0,1,1
"307","Me",0,0,0,0,0,0,0,0
"308","Forever",0,0,0,0,0,0,0,0
"309","Man Cmon Forever on the playlist",0,0,0,0,0,0,0,0
"310","Me",0,0,0,0,0,0,0,0
"311","Hum Indians hi sunty hai kya ye song zada",0,0,0,0,0,0,0,0
"312","UwU me",0,0,0,0,0,0,0,0
"313","Me",0,0,0,0,0,0,0,0
"314","Caraca Dias De Diferenca",0,0,0,0,0,0,0,0
"315","Uleon same time",0,1,0,0,0,0,0,0
"316","Me first time",0,1,0,0,0,0,0,0
"317","Yessir",0,0,0,0,0,0,0,0
"318","Hey amigo",0,0,0,0,0,0,0,0
"319","Me Upper Moon is here too",0,0,0,0,0,0,0,0
"320","of course do not worry my friend",0,1,0,1,1,1,0,1
"321","Me",0,0,0,0,0,0,0,0
"322","Elizabethujmg si",0,0,0,0,0,0,0,0
"323","Elizabethujmg place ",0,0,0,0,0,0,0,0
"324","Me",0,0,0,0,0,0,0,0
"325","I to",0,0,0,0,0,0,0,0
"326","Me",0,0,0,0,0,0,0,0
"327","I this song ",0,0,0,0,0,0,0,0
"328","Me",0,0,0,0,0,0,0,0
"329","Everyday",0,0,0,0,0,0,0,0
"330","Me",0,0,0,0,0,0,0,0
"331","Me",0,0,0,0,0,0,0,0
"332","Mee",0,0,0,0,0,0,0,0
"333","me",0,0,0,0,0,0,0,0
"334","listining this while playing gta ",0,0,0,0,0,0,0,0
"335","",0,0,0,0,0,0,0,0
"336","Dieses Lied bringt mich zum Weinen",0,0,0,0,0,0,0,0
"337","plqza mu Coldpay mu mu Avicii mu A Sky Full Of Stars",0,0,0,0,0,0,0,0
"338","Yeah boi",0,0,0,0,0,0,0,0
"339","Yup",0,0,0,0,0,0,0,0
"340","",0,0,0,0,0,0,0,0
"341","",0,0,0,0,0,0,0,0
"342","Ya",0,0,0,0,0,0,0,0
"343","here",0,0,0,0,0,0,0,0
"344","Yeh I am here",0,0,0,0,0,0,0,0
"345","ME",0,0,0,0,0,0,0,0
"346","asdfgasdfg",0,0,0,0,0,0,0,0
"347","eu aceito",0,0,0,0,0,0,0,0
"348","Same to u",0,0,0,0,0,0,0,0
"349","Hello",0,0,0,0,0,0,0,0
"350","Your welcome",0,0,0,0,0,0,0,0
"351","Hi",0,0,0,0,0,0,0,0
"352","Cuz u people smell bad",2,0,2,1,0,1,0,0
"353","jityou recist",0,0,0,0,0,0,0,0
"354","jitI do not why you hate india",1,0,1,1,0,1,0,0
"355","Brother I never hated my Country I am just saying that why we are not able to create such excuse me beautiful videos and content of India You have wrong thinking about my comments please I want to see a beautiful India",0,0,0,0,3,0,0,2
"356","Still stuck in soon Hoping to escape this time loop",0,2,0,1,0,0,0,0
"357","Hey I am from India registered trademark",0,0,0,0,0,0,0,0
"358",NA,0,0,0,0,0,0,0,0
"359","Thanks for Likes",0,0,0,0,0,0,0,0
"360","Yes bro",0,0,0,0,0,0,0,0
"361","Yup",0,0,0,0,0,0,0,0
"362","",0,0,0,0,0,0,0,0
"363","Me too",0,0,0,0,0,0,0,0
"364","Me too",0,0,0,0,0,0,0,0
"365","same bro",0,0,0,0,0,0,0,0
"366","",0,0,0,0,0,0,0,0
"367","In May ",0,0,0,0,0,0,0,0
"368","mu",0,0,0,0,0,0,0,0
"369","Weirdo",0,0,0,1,0,0,0,0
"370","Yes mi",0,0,0,0,0,0,0,0
"371","I am from India by the way",0,0,0,0,0,0,0,0
"372","",0,0,0,0,0,0,0,0
"373","",0,0,0,0,0,0,0,0
"374","",0,0,0,0,0,0,0,0
"375","Here",0,0,0,0,0,0,0,0
"376","yes",0,0,0,0,0,0,0,0
"377","Yes",0,0,0,0,0,0,0,0
"378","Yeahh",0,0,0,0,0,0,0,0
"379","",0,0,0,0,0,0,0,0
"380","Nicaa",0,0,0,0,0,0,0,0
"381","argentina",0,0,0,0,0,0,0,0
"382","Wish you find your happiness soon",0,1,0,0,1,0,0,0
"383","change dp please",0,0,0,1,0,0,0,0
"384","your pfp",0,0,0,0,0,0,0,0
"385","They spent a long time looking for something that was not covered in filth",0,2,1,0,0,0,0,0
"386","I guess you are not from India",0,0,0,0,0,0,1,0
"387","Iam from india but i do not like indian cultures",0,0,0,0,0,0,0,0
"388","theshadow why",0,0,0,0,0,0,0,0
"389","theshadow learn to respect your culture first if u wanna love your country",0,1,0,0,2,0,0,1
"390","I love my India",0,0,0,0,1,0,0,0
"391","But wut about you ",0,0,0,0,0,0,0,0
"392","I like your photo profile",0,0,0,0,0,0,0,0
"393","bhai dp to mast he tera",0,0,0,0,0,0,0,0
"394","Dp pe papa ki photo h lagi h aapke apni lagao",0,0,0,0,0,0,0,0
"395","Sametheshadow",0,0,0,0,0,0,0,0
"396","theshadow because u are ktva mulla",0,0,0,0,0,0,0,0
"397",NA,0,0,0,0,0,0,0,0
"398","rragamestarbro because he is a Muslim Simple",0,0,0,0,0,0,0,0
"399","Bro Pfp",0,0,0,0,0,0,0,0
"400","theshadow nobody cares",0,0,0,0,0,0,0,0
"401","shantiprakashbihani fg",0,0,0,0,0,0,0,0
"402","shantiprakashbihani I do",0,0,0,0,0,0,0,0
"403","Me",0,0,0,0,0,0,0,0
"404","Hey Me too",0,0,0,0,0,0,0,0
"405","",0,0,0,0,0,0,0,0
"406","me",0,0,0,0,0,0,0,0
"407","Me",0,0,0,0,0,0,0,0
"408","Yes",0,0,0,0,0,0,0,0
"409","me",0,0,0,0,0,0,0,0
"410","Yo I thought that I was the only one",0,1,0,0,0,0,0,0
"411","Yas",0,0,0,0,0,0,0,0
"412","Hey Mee",0,0,0,0,0,0,0,0
"413","Here",0,0,0,0,0,0,0,0
"414"," here",0,0,0,0,0,0,0,0
"415","",0,0,0,0,0,0,0,0
"416","Here from ",0,0,0,0,0,0,0,0
"417","Me hello ",0,0,0,0,0,0,0,0
"418"," here this byson rib dialed into hz gets crazy broadband on g money represent whoot whoot",2,1,0,1,1,1,1,1
"419","Me",0,0,0,0,0,0,0,0
"420","Yes indian are nice and beauty the food also nice",0,0,0,0,2,0,0,1
"421","niazahmadmohamadzubir but not safe for womans",0,0,0,0,1,0,0,1
"422","thanks All wold iam registered trademark",0,0,0,0,0,0,0,0
"423","Your most welcome",0,0,0,0,0,0,0,0
"424","You are Always welcome",0,0,0,0,0,0,0,0
"425","U r a Trinidadian like me",0,0,0,0,0,0,0,0
"426",NA,0,0,0,0,0,0,0,0
"427","Always welcome",0,0,0,0,0,0,0,0
"428","You are welcome buddy",0,1,0,0,1,0,0,1
"429","Welcome",0,0,0,0,0,0,0,0
"430","Welcome Brother",0,0,0,0,0,0,0,1
"431","Welcome bro",0,0,0,0,0,0,0,0
"432","May shuru to hone de agaya likes lene",0,0,0,0,0,0,0,0
"433","bilalmomin i dont speak your stinky language",0,0,0,0,0,0,0,0
"434","",0,0,0,0,0,0,0,0
"435","In english please",0,0,0,0,0,0,0,0
"436",NA,0,0,0,0,0,0,0,0
"437","Me here",0,0,0,0,0,0,0,0
"438","",0,0,0,0,0,0,0,0
"439","Why the heck",0,0,0,0,0,0,0,0
"440","Aku Bukan Indonesia tapi Malaysia",0,0,0,0,0,0,0,0
"441","no",0,0,0,0,0,0,0,0
"442","April",0,0,0,0,0,0,0,0
"443","Me",0,0,0,0,0,0,0,0
"444","copyright copyright ",0,0,0,0,0,0,0,0
"445","In may",0,0,0,0,0,0,0,0
"446","OwenClaudy hr",0,0,0,0,0,0,0,0
"447"," here from Trinidad and Tobago",0,0,0,0,0,0,0,0
"448","Me",0,0,0,0,0,0,0,0
"449","Here",0,0,0,0,0,0,0,0
"450","Me",0,0,0,0,0,0,0,0
"451","Yeah",0,0,0,0,0,0,0,0
"452","Me",0,0,0,0,0,0,0,0
"453","Brasil aqui",0,0,0,0,0,0,0,0
"454","It is ",0,0,0,0,0,0,0,0
"455","Yes it is ",0,0,0,0,0,0,0,0
"456","Westbengal",0,0,0,0,0,0,0,0
"457","cent cent",0,0,0,0,0,0,0,0
"458","Same",0,0,0,0,0,0,0,0
"459",NA,0,0,0,0,0,0,0,0
"460","Me",0,0,0,0,0,0,0,0
"461","We are in April",0,0,0,0,0,0,0,0
"462",NA,0,0,0,0,0,0,0,0
"463","I literally love this song",0,0,0,0,1,0,0,0
"464","So true",0,0,0,0,0,0,0,0
"465","m hm",0,0,0,0,0,0,0,0
"466","You know what I am listening to this just hours before my th semester college exams it is am here mu ",0,0,0,0,0,0,0,0
"467","Me",0,0,0,0,0,0,0,0
"468",NA,0,0,0,0,0,0,0,0
"469","",0,0,0,0,0,0,0,0
"470","",0,0,0,0,0,0,0,0
"471","Thanks",0,0,0,0,0,0,0,0
"472","Yes sir",0,0,0,0,0,0,0,1
"473","Bro shut up",0,0,0,0,0,0,0,0
"474","I am here",0,0,0,0,0,0,0,0
"475","Esse excuse me o comentario mais recente que achei not applicable verdade nem tinha visto que excuse me um video de anos",0,0,0,0,0,0,0,0
"476","",0,0,0,0,0,0,0,0
"477","",0,0,0,0,0,0,0,0
"478","",0,0,0,0,0,0,0,0
"479","May You com from futur ",0,0,0,0,0,0,0,0
"480","Claiming my future spot",0,0,0,0,0,0,0,0
"481","What do you mean Duffer",0,0,0,0,0,0,0,0
"482","come watch",0,1,0,1,0,0,0,0
"483","I gave your th like Watch it again coz this never gets old",0,1,0,1,0,0,0,0
"484","deeprobhattacharyya sure",0,0,0,0,0,0,0,0
"485","Time to watch for the th time",0,2,0,1,0,0,0,0
"486"," th time please",0,1,0,0,0,0,0,0
"487","userrrxupio I will definitely",0,0,0,0,0,0,0,0
"488","userrrxupioI will definitely",0,0,0,0,0,0,0,0
"489","npc",0,0,0,0,0,0,0,0
"490","bhai ye aadmi naak se gaata hai",0,0,0,0,0,0,0,0
"491","biggest mistake",0,0,0,0,0,1,0,0
"492","Welcome and I wish you to visit South India",0,0,0,0,0,0,0,0
"493","Same",0,0,0,0,0,0,0,0
"494","Yes sir",0,0,0,0,0,0,0,1
"495","",0,0,0,0,0,0,0,0
"496","Me bro",0,0,0,0,0,0,0,0
"497","I love this song love from Texas",0,0,0,0,1,0,0,0
"498","Me",0,0,0,0,0,0,0,0
"499","Me",0,0,0,0,0,0,0,0
"500","Bhai",0,0,0,0,0,0,0,0
"501","Here",0,0,0,0,0,0,0,0
"502","Yah",0,0,0,0,0,0,0,0
"503","Me man",0,0,0,0,0,0,0,0
"504","Get over it yall am not special",0,0,0,0,1,0,0,0
